2,Agriculture and Farming,Agricultural Policy,0,,,,,,,,,Agricultural Policy (676 organizations) (4162 users) (260 resources) (7 jobs) (1074 events) (106 groups)
3,Agriculture and Farming,Agricultural Water Conservation and Management,0,,,,,,,,,Agricultural Water Conservation and Management (477 organizations) (2816 users) (272 resources) (3 jobs) (640 events) (91 groups)
4,Agriculture and Farming,Agroecology,0,,,,,,,,,Agroecology (434 organizations) (2635 users) (178 resources) (8 jobs) (443 events) (91 groups)
5,Agriculture and Farming,Biological Control,0,,,,,,,,,Biological Control (242 organizations) (1371 users) (62 resources) (4 jobs) (88 events) (42 groups)
6,Agriculture and Farming,Composting,0,,,,,,,,,Composting (470 organizations) (4405 users) (179 resources) (8 jobs) (579 events) (128 groups)
7,Agriculture and Farming,Farm Ecosystem Management,0,,,,,,,,,Farm Ecosystem Management (382 organizations) (2643 users) (163 resources) (7 jobs) (409 events) (103 groups)
8,Agriculture and Farming,Gardening,0,,,,,,,,,Gardening (1628 organizations) (6694 users) (362 resources) (14 jobs) (991 events) (174 groups)
9,Agriculture and Farming,Global Beef Industry,0,,,,,,,,,Global Beef Industry (54 organizations) (704 users) (55 resources) (2 jobs) (38 events) (26 groups)
10,Agriculture and Farming,Livestock in Developing Nations,0,,,,,,,,,Livestock in Developing Nations (108 organizations) (817 users) (47 resources) (1 jobs) (55 events) (24 groups)
11,Agriculture and Farming,Organic Farming,0,,,,,,,,,Organic Farming (1663 organizations) (8226 users) (399 resources) (21 jobs) (976 events) (209 groups)
12,Agriculture and Farming,Permaculture,0,,,,,,,,,Permaculture (854 organizations) (7654 users) (496 resources) (19 jobs) (1763 events) (336 groups)
13,Agriculture and Farming,Precision Farming,0,,,,,,,,,Precision Farming (64 organizations) (541 users) (22 resources) (1 jobs) (33 events) (20 groups)
14,Agriculture and Farming,Rural Farming Communities,0,,,,,,,,,Rural Farming Communities (1397 organizations) (3127 users) (199 resources) (9 jobs) (297 events) (110 groups)
15,Agriculture and Farming,Soil Conservation and Management,0,,,,,,,,,Soil Conservation and Management (758 organizations) (2512 users) (172 resources) (4 jobs) (380 events) (83 groups)
16,Agriculture and Farming,Sustainable Agriculture,0,,,,,,,,,Sustainable Agriculture (5049 organizations) (8334 users) (683 resources) (27 jobs) (1478 events) (307 groups)
17,Agriculture and Farming,Sustainable Livestock Husbandry,0,,,,,,,,,Sustainable Livestock Husbandry (281 organizations) (1418 users) (92 resources) (9 jobs) (198 events) (55 groups)
19,Air,Acid Rain,0,,,,,,,,,Acid Rain (61 organizations) (611 users) (52 resources) (2 jobs) (32 events) (21 groups)
20,Air,Air Quality and Pollution,0,,,,,,,,,Air Quality and Pollution (1622 organizations) (4285 users) (208 resources) (7 jobs) (291 events) (105 groups)
21,Air,Indoor Air Quality,0,,,,,,,,,Indoor Air Quality (128 organizations) (1400 users) (41 resources) (1 jobs) (60 events) (25 groups)
22,Air,Ozone Layer,0,,,,,,,,,Ozone Layer (91 organizations) (1372 users) (46 resources) (2 jobs) (53 events) (24 groups)
24,Animalia,Amphibians,0,,,,,,,,,Amphibians (150 organizations) (465 users) (18 resources) (1 jobs) (22 events) (16 groups)
25,Animalia,Animal and Plant Trafficking,0,,,,,,,,,Animal and Plant Trafficking (689 organizations) (792 users) (10 resources) (1 jobs) (15 events) (23 groups)
